s_code,sp_name,life_form
acaela,Acanthophyllum_elatius,Pr
aellit,Aeluropus_littoralis,Pr
agrdes,Agropyron_desertorum,Pr
agrfra,Agropyron_fragile,Pr
alhpse,Alhagi_pseudalhagi,Pr
allcas,Allium_caspium,Pr
allsab,Allium_sabulosum,Pr
alytur,Alyssum_turkestanicum,An
ambtur,Amberboa_turanica,An
ammbif,Ammodendron_bifolium,Sr
anaaph,Anabasis_aphylla,Ss
anabra,Anabasis_brachiata,Ss
anasal,Anabasis_salsa,Ss
aripen,Aristida_pennata,Pr
arndec,Arnebia_decumbens,An
artare,Artemisia_arenaria,Ss
artdif,Artemisia_diffusa,Ss
artter,Artemisia_terrae_albae,Sr
arttur,Artemisia_turanica,Ss
artvul,Artemisia_vulgaris,Pr
astama,Astragalus_amarus,Pr
astamm,Astragalus_ammodendron,Sr
astbra1,Astragalus_brachypus,Ss
astbra,Astragalus_brachytropis,Pr
astkoe,Astragalus_koelzii,Pr
astvil,Astragalus_villosissimus,Ss
atrspi,Atraphaxis_spinosa,Sr
atrdim,Atriplex_dimorphostegia,An
atrfom,Atriplex_fominii,An
atrpra,Atriplex_pratovii,An
bashys,Bassia_hyssopifolia,An
brotec,Bromus_tectorum,An
calaca,Calligonum_acanthopterum,Sr
calaph,Calligonum_aphyllum,Sr
calcap,Calligonum_caput_medusae,Sr
calcri,Calligonum_crispum,Sr
caljun,Calligonum_junceum,Sr
calleu,Calligonum_leucocladum,Sr
calmac,Calligonum_macrocarpum,Sr
calmic,Calligonum_microcarpum,Sr
calsep,Calystegia_sepium,Pr
capspi,Capparis_spinosa,Pr
carphy,Carex_physodes,Pr
carden,Caroxylon_dendroides,An
carnit,Caroxylon_nitrarium,An
carori,Caroxylon_orientale,Ss
carscl,Caroxylon_scleranthum,An
cenpul,Centaurea_pulchella,An
cerare,Ceratocarpus_arenarius,An
chobre,Chondrilla_brevirostris,Pr
cliara,Climacoptera_aralensis,An
clicra,Climacoptera_crassa,An
clilan,Climacoptera_lanata,An
coneri,Convolvulus_erinaceus,Ss
confru,Convolvulus_fruticosus,Ss
consub,Convolvulus_subsericeus,Pr
corara,Corispermum_aralocaspicum,An
corhys,Corispermum_hyssopifolium,An
corleh,Corispermum_lehmannianum,An
cynacu,Cynanchum_acutum,Pr
cynthe,Cynanchum_thesioides,Pr
dessop,Descurainia_sophia,An
dipstr,Diptychocarpus_strictus,An
ephdis,Ephedra_distachya,Sr
