Eco_typ,plot_id
Gp,DM1
Gp,DM2
PoGa,DM3
Gp,DM4
PsGp,DM5
PsGp,DM6
PsGp,DM7
Gp,DM8
Gp,DM9
Gp,DM10
Gp,DM11
Gp,DM12
Gp,DM13
Gp,DM14
Gp,DM15
Gp,DM16
Gp,DM17
Gp,DM18
Gp,DM19
Gp,DM20
Gp,DM21
Gp,DM22
Gp,DM23
Gp,DM24
Gp,DM25
Gp,DM26
GaGp,DM27
Gp,DM28
Gp,DM29
Ps,DM30
Ps,DM31
GpPs,DM32
Gp,DM33
Ga,DM34
Ga,DM35
PoGa,DM36
Ps,DM37
Ps,DM38
Ps,DM39
Ps,DM40
PsGp,DM41
Ps,DM42
Ps,DM43
Ps,DM44
Ga,DM45
Ga,DM46
Ga,DM47
Ga,DM48
Ga,DM49
Ga,DM50
Gp,DM51
Gp,DM52
Gp,DM53
Gp,DM54
Ps,DM55
Ps,DM56
Ps,DM57
Ps,DM58
Ps,DM59
Ps,DM60
Ps,DM61
Ps,DM62
Ps,DM63
Ga,DM64
Ga,DM65
Ga,DM66
Ga,DM67
Ga,DM68
Ga,DM69
Ga,DM70
Ga,DM71
Ga,DM72
Ga,DM73
Ga,DM74
Ga,DM75
Ga,DM76
Ga,DM77
PoGa,DM78
Ga,DM79
Ps,DM80
Po,DM81
Gp,DM82
Gp,DM83
Gp,DM84
Gp,DM85
Gp,DM86
Gp,DM87
Gp,DM88
GpPs,DM89
Po,DM90
Ga,DM91
Ga,DM92
Ga,DM93
Ga,DM94
Po,DM95
Ga,DM96
Gp,DM97
Gp,DM98
Ga,DM99
Ga,DM100
Ga,DM101
Ga,DM102
Ga,DM103
Ga,DM104
Ga,DM105
GaPo,DM106
Ga,DM107
Ga,DM108
Ga,DM109
Ga,DM110
Ga,DM111
Po,DM112
Po,DM113
PoGa,DM114
Ga,DM115
Ga,DM116
Ga,DM117
Ga,DM118
Ga,DM119
GaPo,DM120
GaPo,DM121
GaPo,DM122
GaPo,DM123
GaPo,DM124
GaPo,DM125
Ps,DM126
Ps,DM127
Ps,DM128
Ps,DM129
Ps,DM130
Ps,DM131
Ps,DM132
Ps,DM133
Ps,DM134
Ps,DM135
Ps,DM136
Ps,DM137
Ps,DM138
Ps,DM139
Ps,DM140
Ps,DM141
Ga,DM142
Ga,DM144
Ga,DM146
Ga,DM147
Po,DM148
Po,DM149
Po,DM150
Po,DM151
Po,DM152
Po,DM153
Po,DM154
Po,DM155
Po,DM156
Po,DM157
Ga,AD1
Ga,AD2
Ga,AD3
PsPo,AD4
Ga,AD5
Ps,AD6
Po,AD7
Ga,AD8
GaPs,AD9
Ga,AD10
GaPs,AD11
Ps,AD12
Ps,AD13
Ga,AD14
Ps,AD15
PoGa,AD16
PoGa,AD17
GaPs,AD18
Po,AD19
Ga,AD20
Po,AD21
PoGa,AD22
Ga,AD23
Ga,AD24
Ga,AD25
Ga,AD26
Ps,AD27
Ps,AD28
PoPsGa,AD29
Ga,AD30
GpPs,AD31
Gp,AD32
PsPo,AD33
Po,AD34
Ga,AD35
Ga,AD36
Ga,AD37
Ga,AD38
Ga,AD39
PoPs,AD40
Ga,AD41
PoPs,AD42
GaPs,AD43
Ps,AD44
Ga,AD45
Ga,AD46
Ga,AD47
Ga,AD48
Ga,AD49
Ga,AD50
Ga,AD51
Ga,AD52
Ga,AD53
Ga,AD54
Ga,AD55
Ga,AD56
Ga,AD57
Ga,AD58
GaGp,AD59
Ps,AD60
